"","Frequency"
"1",0.793650793651515
"2",0.912698412699243
"3",1.1507936507947
"4",1.25000000000114
"5",1.35912698412822
"6",1.45833333333466
"7",1.54761904762046
"8",1.64682539682689
"9",1.74603174603333
"10",1.9642857142875
"11",2.09325396825587
"12",2.26190476190682
"13",2.67857142857386
"14",2.81746031746288
"15",2.9563492063519
"16",3.33333333333636
"17",3.44246031746345
"18",4.23611111111496
"19",5.22817460317936
"20",5.70436507937027
"21",5.85317460317993
"22",6.24007936508504
"23",7.10317460318106
"24",7.2023809523875
"25",10.3174603174697
"26",11.1011904762006
"27",12.5496031746146
"28",12.6587301587417
